Mon Aug 12 2013 14:34:49 GMT-0400 (Eastern Daylight Time)|buny
Mon Aug 12 2013 14:36:15 GMT-0400 (Eastern Daylight Time)|1200
Mon Aug 12 2013 15:06:39 GMT-0400 (Eastern Daylight Time)|bb
Mon Aug 12 2013 15:06:58 GMT-0400 (Eastern Daylight Time)|b
Mon Aug 12 2013 15:08:29 GMT-0400 (Eastern Daylight Time)|g
Mon Aug 12 2013 15:08:54 GMT-0400 (Eastern Daylight Time)|h
Mon Aug 12 2013 15:10:04 GMT-0400 (Eastern Daylight Time)|bb
Mon Aug 12 2013 15:10:08 GMT-0400 (Eastern Daylight Time)|gg
Mon Aug 12 2013 15:12:06 GMT-0400 (Eastern Daylight Time)|c
Mon Aug 12 2013 15:14:02 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 12 2013 15:14:06 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 12 2013 16:37:46 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 12 2013 16:37:48 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 12 2013 17:15:34 GMT-0400 (Eastern Daylight Time)|
Mon Aug 12 2013 17:33:14 GMT-0400 (Eastern Daylight Time)|2
Mon Aug 12 2013 17:37:12 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 12 2013 17:39:06 GMT-0400 (Eastern Daylight Time)|
Tue Aug 13 2013 20:13:07 GMT-0400 (Eastern Daylight Time)|dragStart4
Tue Aug 13 2013 20:13:09 GMT-0400 (Eastern Daylight Time)|dragEnd4
Tue Aug 13 2013 20:18:16 GMT-0400 (Eastern Daylight Time)|dragStart4
Tue Aug 13 2013 20:18:18 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 12:21:08 GMT-0400 (Eastern Daylight Time)|1
Mon Aug 19 2013 12:21:10 GMT-0400 (Eastern Daylight Time)|2
Mon Aug 19 2013 12:21:13 GMT-0400 (Eastern Daylight Time)|2
Mon Aug 19 2013 12:21:16 GMT-0400 (Eastern Daylight Time)|3
Mon Aug 19 2013 12:21:18 GMT-0400 (Eastern Daylight Time)|2
Mon Aug 19 2013 12:47:50 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 19 2013 12:47:50 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 12:47:51 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 19 2013 12:47:54 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 12:48:34 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 19 2013 12:48:38 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 12:51:37 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 19 2013 12:51:38 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 12:53:24 GMT-0400 (Eastern Daylight Time)|2
Mon Aug 19 2013 12:53:27 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:53:30 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:53:31 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:53:33 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:53:35 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:53:39 GMT-0400 (Eastern Daylight Time)|dragEnd7
Mon Aug 19 2013 12:53:42 GMT-0400 (Eastern Daylight Time)|dragEnd2
Mon Aug 19 2013 12:53:44 GMT-0400 (Eastern Daylight Time)|dragEnd6
Mon Aug 19 2013 12:53:48 GMT-0400 (Eastern Daylight Time)|dragEnd12
Mon Aug 19 2013 12:55:35 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:55:37 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:55:39 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:55:41 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:55:43 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:55:45 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 12:55:52 GMT-0400 (Eastern Daylight Time)|dragStart10
Mon Aug 19 2013 12:55:53 GMT-0400 (Eastern Daylight Time)|dragEnd10
Mon Aug 19 2013 12:55:54 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 19 2013 12:55:55 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 13:09:31 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 19 2013 13:09:32 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 13:09:34 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:09:37 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:09:39 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:09:40 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:09:42 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:09:44 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:09:46 GMT-0400 (Eastern Daylight Time)|dragStart12
Mon Aug 19 2013 13:09:47 GMT-0400 (Eastern Daylight Time)|dragEnd12
Mon Aug 19 2013 13:13:09 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:13:12 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:13:30 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:13:33 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:14:14 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:14:16 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:16:05 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:16:07 GMT-0400 (Eastern Daylight Time)|d
Mon Aug 19 2013 13:16:10 GMT-0400 (Eastern Daylight Time)|dragStart14
Mon Aug 19 2013 13:16:11 GMT-0400 (Eastern Daylight Time)|dragEnd14
Mon Aug 19 2013 13:18:27 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:18:29 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:19:52 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:19:54 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:21:22 GMT-0400 (Eastern Daylight Time)|1
Mon Aug 19 2013 13:21:24 GMT-0400 (Eastern Daylight Time)|1
Mon Aug 19 2013 13:28:12 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:28:14 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:28:15 GMT-0400 (Eastern Daylight Time)|dragStart4
Mon Aug 19 2013 13:28:18 GMT-0400 (Eastern Daylight Time)|dragEnd4
Mon Aug 19 2013 13:28:33 GMT-0400 (Eastern Daylight Time)|a
Mon Aug 19 2013 13:28:34 GMT-0400 (Eastern Daylight Time)|s
Mon Aug 19 2013 13:28:55 GMT-0400 (Eastern Daylight Time)|1
Mon Aug 19 2013 13:28:57 GMT-0400 (Eastern Daylight Time)|1
