Country,Pop1955,Pop1960,Pop1965,Pop1970,Pop1975,Pop1980,Pop1985,Pop1990,Pop1995,Pop2000,Pop2005,Group,Cluster,F1950,F1955,F1960,F1965,F1970,F1975,F1980,F1985,F1990,F1995,F2000,F2005,L1950,L1955,L1960,L1965,L1970,L1975,L1980,L1985,L1990,L1995,L2000,L2005
Afghanistan,8891209,9829450,10997885,12430623,14132019,15112149,13796928,14669339,20881480,23898198,29928987,South Asia,0,7.7,7.7,7.7,7.7,7.7,7.7,7.8,7.9,8,8,7.4792,7.0685,28.801,30.332,31.997,34.02,36.088,38.438,39.854,40.822,41.674,41.763,42.129,43.828
Albania,1392164,1623114,1883652,2156612,2401108,2671412,2956697,3250778,3400516,3473835,3563112,Europe & Central Asia,1,5.597,5.978,5.763,5.113,4.658,4.202,3.403,3.076,2.78,2.483,2.245,2.064,55.23,59.28,64.82,66.22,67.69,68.93,70.42,72,71.581,72.95,75.651,76.423
Algeria,9841851,10909294,11963091,13931846,16140252,18806061,22008450,25093154,28082573,30409300,32531853,Middle East & North Africa,5,7.278,7.278,7.38,7.38,7.38,7.175,6.49,5.29,4.131,2.885,2.526,2.383,43.077,45.685,48.303,51.407,54.518,58.014,61.368,65.799,67.744,69.152,70.994,72.301
Angola,4423223,4797344,5134818,5605626,5884241,6741465,7581504,8290856,9421477,10442812,11827315,Sub-Saharan Africa,2,7,7.2,7.4,7.4,7.2,7.2,7.2,7.2,7.1,6.9,6.75,6.432,30.015,31.999,34,35.985,37.928,39.483,39.942,39.906,40.647,40.963,41.003,42.731
Argentina,18927821,20616009,22283100,23962313,26081880,28369799,30675059,33022202,35311049,37497728,39537943,America,3,3.154,3.1265,3.0895,3.049,3.1455,3.44,3.15,3.053,2.9,2.63,2.35,2.254,62.485,64.399,65.142,65.634,67.065,68.481,69.942,70.774,71.868,73.275,74.34,75.32
Armenia,1565329,1868852,2205833,2519745,2834136,3115289,3373532,3376783,3068751,3042556,2982904,Europe & Central Asia,1,4.494,4.494,4.453,3.447,3.037,2.503,2.376,2.575,2.38,1.75,1.345,1.388,62.809,64.928,67.055,69.211,70.786,70.595,70.916,68.408,68.663,70.377,71.403,71.965
Aruba,53865,57203,59020,59039,59390,60266,64129,66653,67836,69539,71566,America,3,5.65,5.15,4.399,3.301,2.651,2.45,2.358,2.3,2.28,2.208,2.124,2.04,60.437,64.381,66.606,68.336,70.941,71.83,74.116,74.494,74.108,73.011,73.451,74.239
Australia,9277087,10361273,11439384,12660160,13771400,14615900,15788300,17022133,18116171,19164620,20090437,East Asia & Pacific,4,3.18,3.406,3.274,2.871,2.535,1.989,1.907,1.859,1.86,1.776,1.756,1.788,69.12,70.33,70.93,71.1,71.93,73.49,74.74,76.32,77.56,78.83,80.37,81.235
Austria,6946885,7047437,7270889,7467086,7578903,7549433,7559776,7722953,8047433,8113413,8184691,Europe & Central Asia,1,2.09,2.52,2.78,2.53,2.02,1.64,1.62,1.45,1.47,1.388,1.382,1.42,66.8,67.48,69.54,70.14,70.63,72.17,73.18,74.94,76.04,77.51,78.98,79.829
Azerbaijan,3313718,3881546,4566962,5168973,5696117,6173361,6681687,7199838,7630291,7748163,7911974,Europe & Central Asia,1,5.493,5.41,5.637,4.935,4.289,3.624,3.036,2.95,2.9,2.2,1.67,1.815,57.961,60.008,62.068,64.111,65.627,65.152,65,66.089,65.623,66.328,66.844,67.487
Bahamas,87138,112234,139205,170323,189139,209944,234988,257253,275303,290075,301790,America,3,4.053,4.305,4.503,3.794,3.444,3.221,3.16,2.62,2.6,2.4,2.1111,2.0221,59.846,62.405,64.209,65.795,66.515,67.199,67.874,69.524,69.171,68.472,71.068,73.495
Bahrain,130253,156648,191378,219543,258789,347568,423950,500476,572639,634137,688345,Middle East & North Africa,5,6.97,6.97,7.175,6.97,5.945,5.228,4.633,4.08,3.362,2.76,2.506,2.292,50.939,53.832,56.923,59.923,63.3,65.593,69.052,70.75,72.601,73.925,74.795,75.635
Bangladesh,49601520,54621538,60332117,67402621,76253310,88076996,99752733,109896945,119186448,130406594,144319628,South Asia,0,6.7,6.76,6.85,6.6,6.15,5.6,5.25,4.629,4.117,3.5043,3.224,2.826,37.484,39.348,41.216,43.453,45.252,46.923,50.009,52.819,56.018,59.412,62.013,64.062
Barbados,227255,232339,234980,238756,247147,251966,257446,262624,267907,273483,278870,America,3,4.67,4.67,4.26,3.45,2.74,2.19,1.92,1.75,1.6,1.5,1.5,1.5,57.22,62.57,65.87,67.62,69.42,71.27,72.695,74.027,74.894,74.912,75.97,77.296
Belarus,7780565,8167918,8590786,9027198,9360184,9643706,9981744,10215208,10403989,10366719,10300483,Europe & Central Asia,1,2.61,2.73,2.69,2.38,2.25,2.09,2.088,2.045,1.677,1.308,1.235,1.204,65.9,67.9,71.29,73.13,72.67,71.86,71.49,72.15,70.17,68.37,68.16,69.027
Belgium,8868475,9118700,9448100,9637800,9794800,9846800,9858200,9969310,10155459,10263618,10364388,Europe & Central Asia,1,2.343,2.496,2.644,2.392,2.015,1.705,1.595,1.559,1.613,1.604,1.638,1.646,68,69.24,70.25,70.94,71.44,72.8,73.93,75.35,76.46,77.53,78.32,79.441
Belize,76892,91863,106965,122070,135611,144416,165530,190847,217120,247887,281084,America,3,6.65,6.55,6.45,6.35,6.25,6.2,5.4,4.7,4.3467,3.85,3.35,2.9349,57.673,60.18,62.678,65.184,67.589,69.747,71.031,71.879,72.522,74.405,75.586,76.121
Benin,1846175,2055083,2310714,2619809,2995605,3444361,3982013,4676077,5700089,6627964,7649360,Sub-Saharan Africa,2,6.801,6.882,6.963,7.022,7.064,7.103,7.136,6.902,6.63,6.253,5.866,5.415,38.223,40.358,42.618,44.885,47.014,49.19,50.904,52.337,53.919,54.777,54.406,56.728
Bhutan,796000,867000,950000,1045000,1157452,1281000,1424193,1597719,1793012,2005222,2232291,South Asia,0,6.6696,6.6696,6.6696,6.6696,6.6696,6.6696,6.4241,6.1968,5.3864,4.192,2.9075,2.1944,36.101,36.614,37.736,39.491,41.837,44.708,47.872,50.717,54.471,58.929,63.458,65.625
Bolivia,3074311,3434073,3853315,4346218,4914316,5441298,5934935,6573900,7376582,8152620,8857870,America,3,6.75,6.75,6.63,6.56,6.5,5.8,5.2995,5,4.8,4.324,3.9585,3.5,40.414,41.89,43.428,45.032,46.714,50.023,53.859,57.251,59.957,62.05,63.883,65.554
Bosnia and Herzegovina,2974000,3240000,3493000,3703000,3980000,4092000,4275355,4423646,3708960,4035457,4430494,Europe & Central Asia,1,4.82,4.28,3.81,3.17,2.63,2.24,1.99,1.9,1.53,1.535,1.283,1.23,53.82,58.45,61.93,64.79,67.45,69.86,70.69,71.14,72.178,73.244,74.09,74.852
Botswana,461100,496695,538100,583999,704591,900476,1078902,1263643,1466989,1607069,1640115,Sub-Saharan Africa,2,6.5,6.575,6.65,6.7,6.546,6.366,5.965,5.109,4.321,3.7,3.18,2.896,47.622,49.618,51.52,53.298,56.024,59.319,61.484,63.622,62.745,52.556,46.634,50.728
Brazil,61773546,71694810,83092908,95684297,108823732,122958132,137302933,151083809,163542501,175552771,186112794,America,3,6.1501,6.1501,6.1501,5.38,4.7175,4.305,3.8,3.1,2.6,2.45,2.345,2.245,50.917,53.285,55.665,57.632,59.504,61.489,63.336,65.205,67.057,69.388,71.006,72.39
Brunei,60983,83037,102414,127554,156223,185220,220215,258172,297508,336376,372361,East Asia & Pacific,4,6.999,6.999,6.72,5.941,5.401,4.4,3.8,3.37,3.09,2.7,2.504,2.294,60.36,61.49,62.97,64.94,68.34,69.66,71.62,73.2,74.471,75.465,76.315,77.118
Bulgaria,7499400,7867374,8201400,8489574,8720742,8843528,8943573,8894028,8255811,7818495,7450349,Europe & Central Asia,1,2.48,2.27,2.18,2.15,2.17,2.17,2.01,1.92,1.48,1.186,1.257,1.31,59.6,66.61,69.51,70.42,70.9,70.81,71.08,71.34,71.19,70.32,72.14,73.005
Burkina Faso,4614490,4865796,5031519,5303777,5673472,6315312,7168228,8335771,9772602,11308552,13491736,Sub-Saharan Africa,2,6.5,6.5,6.72,7.33,7.75,7.75,7.68,7.44,7.1572,6.7696,6.3612,6.0042,31.975,34.906,37.814,40.697,43.591,46.137,48.122,49.557,50.26,50.324,50.65,52.295
Burundi,2576249,2815405,3170653,3521913,3676308,4299555,4906862,5505113,6077812,6621126,7795426,Sub-Saharan Africa,2,6.801,6.801,6.801,6.801,6.801,6.801,6.8,6.8,6.8,6.8,6.8,6.8,39.031,40.533,42.045,43.548,44.057,45.91,47.471,48.211,44.736,45.326,47.36,49.58
Cambodia,5048797,5761223,6602232,7394644,7489990,6869171,7805090,9355479,11282730,12466262,13636398,East Asia & Pacific,4,6.294,6.294,6.291,6.216,5.535,4.7,6.6,6,5.549,4.45,3.637,3.175,39.417,41.366,43.415,45.415,40.317,31.22,50.957,53.914,55.803,56.534,56.752,59.723
Cameroon,5210832,5608760,6103788,6726733,7521530,8746201,10127591,11778594,13504356,15233673,16988132,Sub-Saharan Africa,2,5.68,5.68,5.9,6.1,6.3,6.4,6.4,6.1,5.7,5.1,4.917,4.3138,38.523,40.428,42.643,44.799,47.049,49.355,52.961,54.985,54.314,52.199,49.856,50.43
Canada,16050356,18266765,20071104,21749986,23209200,24593300,25941600,27790600,29619002,31278097,32805041,America,3,3.645,3.882,3.675,2.61,1.976,1.734,1.634,1.616,1.694,1.564,1.522,1.527,68.75,69.96,71.3,72.13,72.88,74.21,75.76,76.86,77.95,78.61,79.77,80.653
Cape Verde,169146,196768,231719,268867,280259,296042,319490,349264,378520,401343,418224,Sub-Saharan Africa,2,6.598,6.902,7.004,7.004,7.004,6.75,6.45,5.9,5,4.1,3.771,3.367,48.48,50.98,52.98,55.48,57.48,59.98,61.766,64.078,66.422,68.646,70.203,71.677
